"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Rank","Rank__c","",True,"picklist",False,1021033,1605,0.15719374398280955
"Account","Account","CSM Sentiment: Budget Professional","CS_Account_Health__c","",True,"picklist",False,1021033,1423,0.13936865899535078
"Account","Account","Budget Professional Lifecycle Stage","CS_Account_LifecycleStage__c","",True,"picklist",False,1021033,1393,0.1364304581732422
"Account","Account","CS Account Risk","CS_Account_Risk__c","",True,"picklist",False,1021033,158,0.015474524329771908
"Account","Account","SF 18 Digit ID","SF_18_id__c","",True,"string",False,1021033,1095,0.10724433000696354
"Account","Account","LinkedIn Company Id","LID__LinkedIn_Company_Id__c","LID",True,"string",False,1021033,0,0.0
"Account","Account","Days Since Last Activity","Days_Since__c","",True,"double",True,1021033,292855,28.682226725287034
"Account","Account","LD_EmailDomains","LeanData__LD_EmailDomains__c","LeanData",True,"string",False,1021033,689568,67.5363088166592
"Account","Account","Routing Action","LeanData__Routing_Action__c","LeanData",True,"string",False,1021033,384,0.03760897052298995
"Account","Account","LeanData Search","LeanData__Search__c","LeanData",True,"string",False,1021033,998822,97.8246540513382
"Account","Account","State Info","LeanData__Status_Info__c","LeanData",True,"string",False,1021033,0,0.0
"Account","Account","Totango Active users (last 14 days)","totango__TotangoActive_users_last_14_days__c","totango",True,"double",False,1021033,1023,0.10019264803390292
"Account","Account","Totango Engagement Change","totango__TotangoEngagementChange__c","totango",True,"double",False,1021033,1023,0.10019264803390292
"Account","Account","Totango Engagement","totango__TotangoEngagement__c","totango",True,"double",False,1021033,878,0.08599134406037807
"Account","Account","Totango Insights","totango__TotangoInsights__c","totango",True,"string",False,1021033,0,0.0
"Account","Account","Totango Account Health Reason","totango__Totango_Account_Health_Reason__c","totango",True,"string",False,1021033,0,0.0
"Account","Account","Totango Account Health","totango__Totango_Account_Health__c","totango",True,"string",False,1021033,911,0.08922336496469752
"Account","Account","Totango Health Profile Name","totango__Totango_Health_Profile_Name__c","totango",True,"string",False,1021033,929,0.09098628545796267
"Account","Account","Totango Insights DEPRECATED","totango__Totango_Insights__c","totango",True,"textarea",False,1021033,0,0.0
"Account","Account","Totango Last Update","totango__Totango_Last_Update__c","totango",True,"datetime",False,1021033,1061,0.10391436907524047
"Account","Account","Totango_License_Utilization","totango__Totango_License_Utilization__c","totango",True,"string",False,1021033,1061,0.10391436907524047
"Account","Account","Totango Overall Time Spent","totango__Totango_Overall_Time_Spent__c","totango",True,"string",False,1021033,0,0.0
"Account","Account","Totango URL","totango__Totango_URL__c","totango",True,"url",False,1021033,1061,0.10391436907524047
"Account","Account","Totango Usage Frequency","totango__Totango_Usage_Frequency__c","totango",True,"string",False,1021033,1061,0.10391436907524047
"Account","Account","Totango Online Status","totango__Totango_isOnline__c","totango",True,"url",False,1021033,1061,0.10391436907524047
"Account","Account","Totango Account Health Icon","totango__Totango_Account_Health_Icon__c","totango",True,"string",True,1021033,1021033,100.0
"Account","Account","Totango Online Status Icon","totango__Totango_Online_Status__c","totango",True,"string",True,1021033,1021033,100.0
"Account","Account","eCivis Customer ID","eCivis_Customer_ID__c","",True,"string",False,1021033,69,0.006757861890849756
"Account","Account","eCivis ID","eCivis_NetSuite_Customer_ID__c","",True,"string",False,1021033,648,0.06346513775754554
"Account","Account","eCivis Customer Status","eCivis_Customer_Status__c","",True,"picklist",False,1021033,669,0.06552187833302155
"Account","Account","CityBase Customer Since","CityBase_Customer_Since__c","",True,"date",True,1021033,2,0.00019588005480723934
"Account","Account","Capital Licenses","Capital__c","",True,"double",False,1021033,854,0.0836407834026912
"Account","Account","Operating Licenses","Operating_Licenses__c","",True,"double",False,1021033,868,0.08501194378634187
"Account","Account","Personnel Licenses","Personnel_Licenses__c","",True,"double",False,1021033,868,0.08501194378634187
"Account","Account","Read Only Licenses","Read_Only_Licenses__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Allocations","Allocations__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Performance Measures","Performance_Measures__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Stat Ledger","Stat_Ledger__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Grants Network Grantee Pre-Award","Grants_Network_Grantee_Pre_Award__c","",True,"picklist",False,1021033,984465,96.41852907790444
"Account","Account","Grants Network Grantee Post-Award","Grants_Network_Grantee_Post_Award__c","",True,"picklist",False,1021033,984462,96.41823525782223
"Account","Account","Grants Network Grantor Competitive Award","Grants_Network_Grantor_Competitive_Awa__c","",True,"picklist",False,1021033,984462,96.41823525782223
"Account","Account","Grants Network Grantor Direct to Award","Grants_Network_Grantor_Direct_to_Award__c","",True,"picklist",False,1021033,984464,96.41843113787704
"Account","Account","Allocate","Allocate__c","",True,"picklist",False,1021033,984731,96.44458112519379
"Account","Account","Budget Professional Customer Since","Customer_Since__c","",True,"date",False,1021033,1180,0.11556923233627121
"Account","Account","x -- OpenBook Indicator","OpenBook_Indicator__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","x -- OpenBook Status","OpenBook_Status__c","",True,"string",True,1021033,1021033,100.0
"Account","Account","Last Touch","Last_Touch__c","",True,"date",False,1021033,1120,0.10969283069205403
"Account","Account","Risk Reason Budget Professional","Risk_Reason__c","",True,"multipicklist",False,1021033,399,0.039078070934044244
"Account","Account","Solution","Primary_Business_Unit__c","",True,"multipicklist",False,1021033,86,0.00842284235671129
"Account","Account","Important Customer Details","Important_Customer__c","",True,"textarea",False,1021033,499,0.04887207367440621
"Account","Account","Partner Program Type","Partner_Category__c","",True,"picklist",False,1021033,89,0.00871666243892215
"Account","Account","Transition to CSM - Procurement Bonfire","Transition_to_CSM_Procurement_Bonfire__c","",True,"date",False,1021033,0,0.0
"Account","Account","Questica Qualified Account","Questica_Qualified_Account__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","x -- OpenBook Status","OpenBook_Status_2__c","",True,"string",False,1021033,256,0.025072647015326636
"Account","Account","CityBase Segment","CB_CityBase_Segment__c","",True,"picklist",False,1021033,69,0.006757861890849756
"Account","Account","Current Grants Management System","Current_Grants_Management_System__c","",True,"picklist",False,1021033,131,0.012830143589874176
"Account","Account","Account Rating - Budgets","Account_Rating_Budgets_quest__c","",True,"picklist",False,1021033,3804,0.3725638642433692
"Account","Account","Questica License Name","Questica_License_Name__c","",True,"string",False,1021033,2129,0.20851431834230627
"Account","Account","Combine Asset Quantities","SBQQ__AssetQuantitiesCombined__c","SBQQ",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Combine Co-Termed Contracts","SBQQ__CoTermedContractsCombined__c","SBQQ",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Contract Co-Termination","SBQQ__ContractCoTermination__c","SBQQ",True,"picklist",False,1021033,981852,96.16261178629878
"Account","Account","Default Opportunity","SBQQ__DefaultOpportunity__c","SBQQ",True,"reference",False,1021033,0,0.0
"Account","Account","Ignore Parent Contracted Prices","SBQQ__IgnoreParentContractedPrices__c","SBQQ",True,"boolean",False,1021033,1021033,100.0
